,Lopend_gemiddelde,Latitude,Longitude,elevation,industry_3000,industry_5000,nightlight_450,nightlight_4950,nightlight_900,population_3000,population_5000,road_class_1_1000,road_class_1_5000,road_class_2_1000,road_class_2_25,road_class_2_3000,road_class_2_500,road_class_2_5000,road_class_3_100,road_class_3_1000,road_class_3_25,road_class_3_300,road_class_3_3000,road_class_3_50,road_class_3_5000,Rsp,oct,BldDen100,BldDen500,NDVI,trafBuf25,trafBuf50,trafBuf800
47,46.2,52.385413,4.875535,5.839491844,5293863.5,13480999.0,37.85442352,33.44546127,36.38938141,122731.4766,323269.8438,0.0,88336.04688,5330.419434,0.0,28773.24023,1039.550903,63392.80078,549.0789185,27859.60742,28.64942551,3944.501953,189958.2813,110.0751343,547617.8125,9.716468811,80.91449738,0.724832158,0.809060225,4140.0,0.0,0.0,580.75
48,27.7,52.367793,4.911305,7.056031704,1224891.25,5720410.0,53.13037109,33.42728806,53.526577,124531.1875,302001.1875,1965.228394,103021.4063,7047.441895,0.0,32128.97461,1601.671143,59283.03906,446.9567261,18828.26367,37.66756058,2564.990234,255216.0781,86.43390656,583304.25,9.507185936,80.72951508,0.896733453,0.88384012,2046.0,0.0,0.0,1632.279716
49,27.8,52.349773,4.856285,4.965361118,306533.9375,2361941.25,40.41667557,31.46198463,38.1937294,123232.1094,296876.875,385.1566772,81214.89844,0.0,0.0,16904.10938,0.0,59337.40234,796.494812,40602.59375,108.5845413,6031.067871,250221.7969,252.8129883,582271.5,9.618087769,81.34624481,0.99884586,0.968330051,977.0,0.0,0.0,339.584852
50,29.2,52.341093,4.853005,3.38035512,275000.0,2269766.5,45.45718002,29.25593948,42.47882843,105026.4141,261566.375,11040.94043,87060.27344,1770.009521,0.0,14618.12305,339.6413574,53880.64063,0.0,17995.625,0.0,147.754425,216645.9375,0.0,563605.6875,9.396999359,81.36223602,0.958440333,0.770386142,1782.0,0.0,0.0,2394.431034
51,24.0,52.347303,4.903085,5.768578053,1627552.75,3976197.5,34.79991531,33.45095444,36.90249634,119912.0,282642.9375,0.0,94222.67188,6981.312012,0.0,29294.34766,2.914191484,62927.41016,100.2309799,37613.64063,0.0,4607.79834,249132.9844,2.122814417,537596.625,9.331316948,80.91246796,0.998889473,0.992236746,1703.0,0.0,0.0,546.8505235
52,27.3,52.355393,4.925805,6.121570587,1434317.875,4418895.0,34.90384293,32.16732407,36.41298676,112089.8906,266458.875,1238.625244,92481.10938,3992.568604,0.0,29891.09961,0.0,55706.73828,648.7960205,33743.17969,72.98583221,4326.578613,212420.7813,186.4092712,552229.25,9.351177216,80.5406723,0.998911267,0.92657225,1939.0,0.0,0.0,566.1556699
53,31.4,52.378893,4.923695,1.771131039,1809095.875,4890050.5,31.24086952,27.91590118,32.06688309,110208.1094,264681.375,2561.233887,66906.53906,3739.591553,0.0,26959.38477,1638.619995,55347.65234,386.5324402,12918.83008,56.73337173,1597.601807,208358.4844,137.5775299,502624.3125,9.56692028,80.56115723,0.0,0.0,0.0,0.0,0.0,1637.333333
54,41.3,52.374393,4.856635,3.406546116,2426614.75,12810213.0,31.54216385,35.85561752,33.58995056,129934.0234,333122.1875,4200.011719,84309.52344,0.0,0.0,23424.60547,0.0,65831.46094,360.1758118,37971.84766,45.51734543,3297.603027,250852.0,111.7876129,548001.75,9.713358879,81.16926575,0.983379278,0.836508894,1952.0,0.0,0.0,0.0
55,52.1,52.373063,4.850985,4.931100368,2364410.0,13282871.0,33.35663223,35.35171127,34.17871857,126660.2031,327671.5,7176.87207,83920.03125,0.0,0.0,23238.01563,0.0,61731.98047,506.8425598,42318.58984,17.03594017,4795.24707,244855.9375,88.77572632,517580.6563,9.725924492,81.16926575,0.551167393,0.804416284,1679.0,0.0,0.0,1872.452068
56,32.1,52.371353,4.916105,5.900894642,1576839.5,5452136.5,45.11491013,31.43344879,46.47763824,116531.1094,284376.25,2721.181396,86729.03906,6120.272461,0.0,32335.4082,82.8108139,56358.33203,452.9136353,15313.09961,66.77419281,2268.351318,227182.2344,156.4193268,563224.6875,9.522357941,80.72951508,0.93255544,0.743664052,1834.0,0.0,0.0,1637.333333
