,Longitude,Latitude,mean_value_NO2,nightlight_450,nightlight_3150,population_1000,population_3000,road_class_2_25,road_class_3_3000,road_class_3_300,trop_mean_filt_2019,BldDen100,NDVI,trafBuf25,trafBuf50
19,10.448432,51.205226,25.6064559,7.848123,3.443985,5419.462402,22177.1875,58.194183,131664.4688,2821.472168,3.98e-05,1.000548805,3165.0,10.54166667,10.54166667
20,10.450997,51.207944,14.84080963,9.135498,3.4822,5684.494629,22593.53906,0.0,134483.2969,3972.885254,3.97e-05,0.996493737,3198.0,0.0,0.0
21,10.45591,52.15369,15.98790953,2.219571,7.015236,742.816467,10813.26758,0.0,40610.28125,584.746887,5.13e-05,0.318806873,3926.0,0.0,234.6666667
22,10.4565,53.24696,16.12049137,9.440699,4.311419,4715.109863,24816.60938,0.0,110745.125,723.241638,4.49e-05,0.568177071,4667.0,0.0,0.0
23,10.47364,52.22694,13.51893448,1.408327,2.953646,1699.768311,22096.33203,0.0,91568.74219,25.20023,5.12e-05,0.228600122,3991.0,0.0,0.0
24,10.48132,51.90158,9.801523784,4.744555,2.253393,4051.955811,14040.27246,0.0,66866.85938,1999.0448,3.84e-05,0.97752778,3119.0,0.0,0.0
25,10.54055,52.26673,34.52371616,16.759285,12.505239,7619.430664,56865.37891,121.077057,220261.3125,4434.568359,5.22e-05,1.000528882,2798.0,234.6666667,234.6666667
26,10.572297,49.304889,31.75555456,15.930489,4.619153,5674.21875,20060.07031,100.65313,134565.2969,1862.915527,4.94e-05,0.938015333,1835.0,253.7083333,253.7083333
27,10.59772,48.95218,14.80263594,7.205743,1.55569,1992.238281,4268.888672,0.0,52723.46094,2147.254395,4.79e-05,0.768209877,3574.0,0.0,0.0
28,10.61248,51.75816,5.648244755,0.0,0.109089,123.120697,573.041504,0.0,6546.740234,0.0,3.24e-05,0.0,4861.0,0.0,0.0
29,10.618275,51.798629,3.593723217,0.262688,0.016482,125.484444,126.036133,0.0,0.0,0.0,3.39e-05,0.015189198,4682.0,0.0,0.0
30,10.664881,53.87453,32.52516609,16.023867,10.798458,7798.769043,55121.62109,57.106949,193908.5313,1476.121826,5.33e-05,1.000506166,1920.0,454.7083333,454.7083333
31,10.668641,50.653245,14.41176232,9.795706,2.618886,2996.199219,9384.149414,0.0,54399.31641,3911.334229,3.79e-05,0.954771051,2032.0,0.0,0.0
32,10.67332,53.862237,26.83923685,19.173674,11.031623,7623.398926,57468.10938,70.754814,196243.3125,2498.077637,5.24e-05,1.000503001,1940.0,454.7083333,454.7083333
33,10.693092,50.61153,27.7066545,8.184977,3.97402,5624.871582,17941.03516,0.0,126535.0,3161.644287,3.66e-05,0.876119016,1752.0,0.0,0.0
34,10.695936,53.835492,13.09937956,12.218112,5.625757,4255.746582,27148.38867,0.0,117068.2969,1667.207764,4.97e-05,1.000494516,3045.0,0.0,0.0
35,10.756733,52.800773,6.539858686,0.0,0.0,3.22454,181.597137,0.0,11039.37598,0.0,4.13e-05,0.104152963,5545.0,0.0,0.0
36,10.769534,50.654066,4.403902397,0.0,0.121693,422.579346,524.063782,0.0,16914.28906,731.688477,3.76e-05,0.097721462,3059.0,0.0,0.0
37,10.775796,53.698939,33.95987274,2.341286,0.760235,1923.39978,11582.99609,25.056623,78115.1875,3171.070312,4.46e-05,1.000462838,2091.0,98.66666667,98.66666667
